url,issue_type,action,target_url,expected_status,reason,linked_internally_yes_no,in_sitemap_yes_no,canonical_target,priority
https://sarahzou.com/wiki/pricing/models-and-metering/pricing-metric,gsc_404,REDIRECT_301,https://sarahzou.com/wiki/pricing/models-and-metering/pricing-metric-value-metric,301,Legacy slug mapped to closest current canonical replacement.,no,no,https://sarahzou.com/wiki/pricing/models-and-metering/pricing-metric-value-metric,high
https://sarahzou.com/wiki/pricing/competitive-and-positioning/price-positioning,gsc_404,GONE_410,,410,Unpublished placeholder concept should return explicit 410.,no,no,,medium
https://sarahzou.com/wiki/pricing/competitive-and-positioning/price-wars,gsc_404,GONE_410,,410,Unpublished placeholder concept should return explicit 410.,no,no,,medium
https://sarahzou.com/wiki/pricing/competitive-and-positioning/competitive-reference-price,gsc_404,GONE_410,,410,Unpublished placeholder concept should return explicit 410.,no,no,,medium
https://sarahzou.com/wiki/pricing/models-and-metering/credit-based-metrics,gsc_404,REDIRECT_301,https://sarahzou.com/wiki/pricing/models-and-metering/credits-drawdown-model,301,Legacy slug mapped to closest current canonical replacement.,no,no,https://sarahzou.com/wiki/pricing/models-and-metering/credits-drawdown-model,high
https://sarahzou.com/wiki/pricing/comms-and-deals/price-change-communications,gsc_404,GONE_410,,410,Unpublished placeholder concept should return explicit 410.,no,no,,medium
https://sarahzou.com/wiki/pricing/pitfalls-and-failures/cannibalization,gsc_404,GONE_410,,410,Unpublished placeholder concept should return explicit 410.,no,no,,medium
https://sarahzou.com/wiki/pricing/models-and-metering/usage-based-pricing,gsc_404,RESTORE_200,https://sarahzou.com/wiki/pricing/models-and-metering/usage-based-pricing,200,Page exists and should return canonical 200 status.,yes,no,https://sarahzou.com/wiki/pricing/models-and-metering/usage-based-pricing,high
https://sarahzou.com/wiki/pricing/research-and-metrics/discovery-sprint,gsc_404,REDIRECT_301,https://sarahzou.com/wiki/pricing/research-and-experiments,301,Legacy taxonomy renamed to research-and-experiments category.,no,no,https://sarahzou.com/wiki/pricing/research-and-experiments,high
https://sarahzou.com/wiki/pricing/research-and-metrics/cohort-analysis,gsc_404,REDIRECT_301,https://sarahzou.com/wiki/pricing/research-and-experiments,301,Legacy taxonomy renamed to research-and-experiments category.,no,no,https://sarahzou.com/wiki/pricing/research-and-experiments,high
https://sarahzou.com/wiki/pricing/foundations/common-pricing-failure-patterns,gsc_404,GONE_410,,410,Legacy URL intentionally removed without close replacement.,no,no,https://sarahzou.com/wiki/pricing/foundations/common-pricing-failure-patterns,medium
https://sarahzou.com/wiki/pricing/models-and-metering/continuous-vs-banded-metrics,gsc_404,GONE_410,,410,Legacy URL intentionally removed without close replacement.,no,no,https://sarahzou.com/wiki/pricing/models-and-metering/continuous-vs-banded-metrics,medium
https://sarahzou.com/wiki/pricing/models-and-metering/per-user-per-seat,gsc_404,REDIRECT_301,https://sarahzou.com/wiki/pricing/models-and-metering/seat-based-pricing,301,Legacy slug mapped to closest current canonical replacement.,no,no,https://sarahzou.com/wiki/pricing/models-and-metering/seat-based-pricing,high
https://sarahzou.com/wiki/pricing/models-and-metering/outcome-based-pricing,gsc_404,REDIRECT_301,https://sarahzou.com/wiki/pricing/models-and-metering/outcome-performance-based-pricing,301,Legacy slug mapped to closest current canonical replacement.,no,no,https://sarahzou.com/wiki/pricing/models-and-metering/outcome-performance-based-pricing,high
https://sarahzou.com/downloads/metrics-storytelling-one-pager/,gsc_404,GONE_410,,410,Intentionally retired URL with no relevant replacement.,no,no,,medium
https://sarahzou.com/wiki/pricing/value-and-customers/buyer-identification-fences,gsc_404,REDIRECT_301,https://sarahzou.com/wiki/pricing/value-and-customers/price-fences-price-discrimination,301,Legacy slug mapped to closest current canonical replacement.,no,no,https://sarahzou.com/wiki/pricing/value-and-customers/price-fences-price-discrimination,high
https://sarahzou.com/downloads/stage-smart-metrics-benchmarks-2025-q2/,gsc_404,REDIRECT_301,https://sarahzou.com/newsletter/saas-benchmark-data-sources-guide,301,Legacy slug mapped to closest current canonical replacement.,no,no,https://sarahzou.com/newsletter/saas-benchmark-data-sources-guide,high
https://sarahzou.com/wiki/pricing/governance-and-process/genai-pricing,gsc_404,GONE_410,,410,Unpublished placeholder concept should return explicit 410.,no,no,,medium
https://sarahzou.com/wiki/pricing/price-architecture,gsc_404,REDIRECT_301,https://sarahzou.com/wiki/pricing/packaging-and-bundling,301,Legacy slug mapped to closest current canonical replacement.,no,no,https://sarahzou.com/wiki/pricing/packaging-and-bundling,high
https://sarahzou.com/wiki/pricing/comms-and-deals/early-adopter-programs,gsc_404,GONE_410,,410,Unpublished placeholder concept should return explicit 410.,no,no,,medium
https://sarahzou.com/wiki/pricing/models-and-metering/consumption-based-pricing,gsc_404,REDIRECT_301,https://sarahzou.com/wiki/pricing/models-and-metering/usage-based-pricing,301,Legacy slug mapped to closest current canonical replacement.,no,no,https://sarahzou.com/wiki/pricing/models-and-metering/usage-based-pricing,high
https://sarahzou.com/wiki/pricing/governance-and-process/compliance-ethics,gsc_404,GONE_410,,410,Unpublished placeholder concept should return explicit 410.,no,no,,medium
https://sarahzou.com/wiki/pricing/foundations/market-posture-timing,gsc_404,GONE_410,,410,Legacy URL intentionally removed without close replacement.,no,no,https://sarahzou.com/wiki/pricing/foundations/market-posture-timing,medium
https://sarahzou.com/wiki/pricing/research-and-metrics/realized-price-index,gsc_404,REDIRECT_301,https://sarahzou.com/wiki/pricing/research-and-experiments,301,Legacy taxonomy renamed to research-and-experiments category.,no,no,https://sarahzou.com/wiki/pricing/research-and-experiments,high
https://sarahzou.com/wiki/pricing/behavioral-psychology/,gsc_404,GONE_410,,410,Unpublished placeholder concept should return explicit 410.,no,no,,medium
https://sarahzou.com/wiki/pricing/research-and-metrics/cost-to-serve,gsc_404,REDIRECT_301,https://sarahzou.com/wiki/pricing/research-and-experiments,301,Legacy taxonomy renamed to research-and-experiments category.,no,no,https://sarahzou.com/wiki/pricing/research-and-experiments,high
https://sarahzou.com/downloads/saas-benchmark-source-navigator/,gsc_404,REDIRECT_301,https://sarahzou.com/newsletter/saas-benchmark-data-sources-guide,301,Legacy slug mapped to closest current canonical replacement.,no,no,https://sarahzou.com/newsletter/saas-benchmark-data-sources-guide,high
https://sarahzou.com/wiki/pricing/packaging-and-bundling/tiered-products,gsc_404,GONE_410,,410,Legacy URL intentionally removed without close replacement.,no,no,https://sarahzou.com/wiki/pricing/packaging-and-bundling/tiered-products,medium
